,R2,R2a,diff,RMSE,MAE,features
36,0.8065206516,0.8010728542,0.0054477974,0.048197819,0.0296551728,"[array(['BsmtFinSF2', 'BsmtUnfSF', 'GarageArea', 'MiscVal', 'BsmtHalfBath',
       'MoSold', 'GarageYrBlt', 'FullBath', 'OpenPorchSF', 'YrSold',
       'LowQualFinSF', 'EnclosedPorch', 'HalfBath', 'trois_3SsnPorch',
       'PoolArea', 'Fireplaces', 'YearRemodAdd', 'TotalBsmtSF',
       'BsmtFinSF1', 'WoodDeckSF', 'BsmtFullBath', 'MasVnrArea',
       'ScreenPorch', 'KitchenAbvGr', 'LotArea', 'OverallCond',
       'YearBuilt', 'un_1stFlrSF', 'BedroomAbvGr', 'GarageCars',
       'deux_2ndFlrSF', 'TotRmsAbvGrd', 'MSSubClass', 'GrLivArea',
       'OverallQual'], dtype=object)]"
35,0.8065206516,0.8010728542,0.0054477974,0.048197819,0.0296551728,"[array(['BsmtUnfSF', 'GarageArea', 'MiscVal', 'BsmtHalfBath', 'MoSold',
       'GarageYrBlt', 'FullBath', 'OpenPorchSF', 'YrSold', 'LowQualFinSF',
       'EnclosedPorch', 'HalfBath', 'trois_3SsnPorch', 'TotalBsmtSF',
       'PoolArea', 'BsmtFinSF1', 'Fireplaces', 'YearRemodAdd',
       'WoodDeckSF', 'BsmtFullBath', 'MasVnrArea', 'ScreenPorch',
       'KitchenAbvGr', 'LotArea', 'OverallCond', 'YearBuilt',
       'un_1stFlrSF', 'BedroomAbvGr', 'GarageCars', 'deux_2ndFlrSF',
       'TotRmsAbvGrd', 'MSSubClass', 'GrLivArea', 'OverallQual'],
      dtype=object)]"
34,0.8065200748,0.80124185,0.0052782247,0.0481978908,0.029654449,"[array(['GarageArea', 'MiscVal', 'BsmtHalfBath', 'MoSold', 'GarageYrBlt',
       'FullBath', 'OpenPorchSF', 'YrSold', 'LowQualFinSF',
       'EnclosedPorch', 'HalfBath', 'trois_3SsnPorch', 'PoolArea',
       'TotalBsmtSF', 'Fireplaces', 'YearRemodAdd', 'BsmtFinSF1',
       'WoodDeckSF', 'MasVnrArea', 'BsmtFullBath', 'ScreenPorch',
       'KitchenAbvGr', 'LotArea', 'OverallCond', 'YearBuilt',
       'un_1stFlrSF', 'BedroomAbvGr', 'GarageCars', 'deux_2ndFlrSF',
       'TotRmsAbvGrd', 'MSSubClass', 'GrLivArea', 'OverallQual'],
      dtype=object)]"
33,0.8065148389,0.8014057759,0.005109063,0.048198543,0.0296726011,"[array(['MiscVal', 'BsmtHalfBath', 'MoSold', 'GarageYrBlt', 'FullBath',
       'OpenPorchSF', 'YrSold', 'LowQualFinSF', 'EnclosedPorch',
       'trois_3SsnPorch', 'HalfBath', 'PoolArea', 'TotalBsmtSF',
       'Fireplaces', 'YearRemodAdd', 'BsmtFinSF1', 'WoodDeckSF',
       'MasVnrArea', 'BsmtFullBath', 'ScreenPorch', 'KitchenAbvGr',
       'LotArea', 'OverallCond', 'YearBuilt', 'un_1stFlrSF',
       'BedroomAbvGr', 'deux_2ndFlrSF', 'TotRmsAbvGrd', 'MSSubClass',
       'GrLivArea', 'GarageCars', 'OverallQual'], dtype=object)]"
32,0.8064963891,0.8015558714,0.0049405177,0.0482008409,0.0296743283,"[array(['BsmtHalfBath', 'MoSold', 'GarageYrBlt', 'OpenPorchSF', 'FullBath',
       'YrSold', 'LowQualFinSF', 'EnclosedPorch', 'trois_3SsnPorch',
       'HalfBath', 'PoolArea', 'TotalBsmtSF', 'Fireplaces',
       'YearRemodAdd', 'BsmtFinSF1', 'WoodDeckSF', 'MasVnrArea',
       'BsmtFullBath', 'ScreenPorch', 'KitchenAbvGr', 'LotArea',
       'OverallCond', 'YearBuilt', 'BedroomAbvGr', 'un_1stFlrSF',
       'deux_2ndFlrSF', 'TotRmsAbvGrd', 'MSSubClass', 'GrLivArea',
       'GarageCars', 'OverallQual'], dtype=object)]"
31,0.8064777187,0.8017054856,0.0047722331,0.0482031662,0.0296826115,"[array(['MoSold', 'GarageYrBlt', 'OpenPorchSF', 'YrSold', 'FullBath',
       'LowQualFinSF', 'EnclosedPorch', 'trois_3SsnPorch', 'HalfBath',
       'PoolArea', 'TotalBsmtSF', 'Fireplaces', 'YearRemodAdd',
       'BsmtFinSF1', 'WoodDeckSF', 'MasVnrArea', 'ScreenPorch',
       'BsmtFullBath', 'LotArea', 'KitchenAbvGr', 'OverallCond',
       'YearBuilt', 'un_1stFlrSF', 'BedroomAbvGr', 'deux_2ndFlrSF',
       'TotRmsAbvGrd', 'MSSubClass', 'GrLivArea', 'GarageCars',
       'OverallQual'], dtype=object)]"
30,0.8064147867,0.801809531,0.0046052557,0.0482110033,0.0296883505,"[array(['GarageYrBlt', 'OpenPorchSF', 'LowQualFinSF', 'FullBath',
       'EnclosedPorch', 'YrSold', 'trois_3SsnPorch', 'HalfBath',
       'PoolArea', 'TotalBsmtSF', 'Fireplaces', 'YearRemodAdd',
       'BsmtFinSF1', 'WoodDeckSF', 'MasVnrArea', 'ScreenPorch',
       'BsmtFullBath', 'LotArea', 'KitchenAbvGr', 'OverallCond',
       'YearBuilt', 'BedroomAbvGr', 'un_1stFlrSF', 'deux_2ndFlrSF',
       'TotRmsAbvGrd', 'MSSubClass', 'GrLivArea', 'GarageCars',
       'OverallQual'], dtype=object)]"
29,0.8063421015,0.801903423,0.0044386785,0.0482200533,0.029636778,"[array(['LowQualFinSF', 'OpenPorchSF', 'FullBath', 'EnclosedPorch',
       'YrSold', 'trois_3SsnPorch', 'HalfBath', 'PoolArea', 'TotalBsmtSF',
       'YearRemodAdd', 'Fireplaces', 'WoodDeckSF', 'BsmtFinSF1',
       'MasVnrArea', 'ScreenPorch', 'BsmtFullBath', 'KitchenAbvGr',
       'LotArea', 'OverallCond', 'YearBuilt', 'BedroomAbvGr',
       'un_1stFlrSF', 'deux_2ndFlrSF', 'TotRmsAbvGrd', 'MSSubClass',
       'GrLivArea', 'GarageCars', 'OverallQual'], dtype=object)]"
28,0.8063421015,0.801903423,0.0044386785,0.0482200533,0.029636778,"[array(['un_1stFlrSF', 'deux_2ndFlrSF', 'OpenPorchSF', 'FullBath',
       'EnclosedPorch', 'YrSold', 'trois_3SsnPorch', 'HalfBath',
       'PoolArea', 'GrLivArea', 'TotalBsmtSF', 'YearRemodAdd',
       'Fireplaces', 'WoodDeckSF', 'BsmtFinSF1', 'MasVnrArea',
       'ScreenPorch', 'BsmtFullBath', 'KitchenAbvGr', 'LotArea',
       'OverallCond', 'YearBuilt', 'BedroomAbvGr', 'TotRmsAbvGrd',
       'MSSubClass', 'GarageCars', 'OverallQual'], dtype=object)]"
27,0.8063393173,0.8020685982,0.004270719,0.0482203999,0.0296408258,"[array(['deux_2ndFlrSF', 'OpenPorchSF', 'FullBath', 'EnclosedPorch',
       'YrSold', 'trois_3SsnPorch', 'HalfBath', 'PoolArea', 'TotalBsmtSF',
       'YearRemodAdd', 'Fireplaces', 'WoodDeckSF', 'BsmtFinSF1',
       'MasVnrArea', 'ScreenPorch', 'BsmtFullBath', 'KitchenAbvGr',
       'LotArea', 'OverallCond', 'YearBuilt', 'BedroomAbvGr', 'GrLivArea',
       'TotRmsAbvGrd', 'MSSubClass', 'GarageCars', 'OverallQual'],
      dtype=object)]"
